cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
132,130,,,,,,,,,,,,,,,,,2025-03-23T05:44:00.000Z
133,131,,,,,,,,,,,,,,,,,2025-03-23T05:50:00.000Z
135,133,,,,,,,,,,,,,,,,,2025-03-23T06:11:00.000Z
136,134,,,,,,,,,,,,,,,,,2025-03-23T04:51:00.000Z
137,135,,,,,,,,,,,,,,,,,2025-03-23T00:00:00.000Z
138,136,,,,,,,,,,,,,,,,,2025-03-23T06:00:00.000Z
139,137,,,,,,,,,,,,,,,,,2025-03-24T05:29:00.000Z
140,138,,,,,,,,,,,,,,,,,2025-03-24T06:27:00.000Z
141,139,,,,,,,960.0,USD,,,,,,,812.0,USD,2025-03-24T07:26:00.000Z
142,140,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
143,141,,,,,,,,,,,,,,,,,2025-03-24T01:27:00.000Z
144,142,,,,,,,,,,,,,,,,,2025-03-24T04:05:00.000Z
145,143,,,,,,,,,,,,,,,,,2025-03-24T08:17:00.000Z
146,144,,,,,,,,,,,,,200.0,USD,200.0,USD,2025-03-24T11:18:00.000Z
147,145,,,,,,,,,,,,,,,,,2025-03-24T11:27:00.000Z
148,146,,,,,,,,,,,,,,,,,2025-03-24T05:10:00.000Z
149,147,,,,,,,,,,,,,,,,,2025-03-24T08:24:00.000Z
150,148,,,,,,,,,,,,,,,,,2025-03-24T11:38:00.000Z
151,149,,,,,,,,,,,,,,,,,2025-03-24T11:46:00.000Z
152,150,,,1772.0,USD,1726.0,USD,,,,,,,1327.0,USD,,,2025-03-24T11:46:00.000Z
153,151,,,,,,,,,,,,,,,,,2025-03-24T05:00:00.000Z
154,152,,,1800.0,USD,1750.0,USD,1600.0,USD,,,,,1400.0,USD,1300.0,USD,2025-03-24T12:16:00.000Z
155,153,,,,,,,,,,,,,,,,,2025-03-24T11:36:00.000Z
156,154,,,,,,,1200.0,USD,,,,,724.0,USD,724.0,USD,2025-03-24T05:26:00.000Z
157,155,,,,,,,,,,,,,,,,,2025-03-24T12:08:00.000Z
158,156,,,,,,,,,,,,,,,,,2025-03-24T11:29:00.000Z
159,157,,,,,,,1346.0,USD,,,,,,,942.0,USD,202 foresight5-03-24T05:42:00.000Z
160,158,,,,,,,1300.0,USD,,,,,,,910.0,USD,2025-03-24T06:19:00.000Z
161,159,,,,,,,1400.0,USD,,,,,,,980.0,USD,2025-03-24T06:22:00.000Z
162,160,,,2638.0,USD,2063.0,USD,1250.0,USD,2902.0,USD,2269.0,USD,1444.0,USD,875.0,USD,2025-03-24T05:22:00.000Z
163,161,,,,,,,1400.0,USD,,,,,,,980.0,USD,2025-03-24T05:31:00.000Z
164,162,,,1600.0,USD,1655.0,USD,1550.0,USD,1700.0,USD,1750.0,USD,1300.0,USD,1250.0,USD,2025-03-24T06:43:00.000Z
